skill_label,c_layer1,c_layer2,c_layer3
undertake continuous professional development in social work,0,0,0
monitor temperature in farinaceous processes,1,0,0
report on voting process,2,0,0
facilitate access to information,2,1,0
operate pumps,3,0,0
cooperate in linguistic process steps,4,0,0
oversee warehouse value-added activities,1,1,0
psychological effects of war,0,0,1
stand watch on vessel,1,2,0
maintain statutory books,2,1,0
prepare tyres for vulcanization,5,0,0
create definitions,4,0,1
electrical wire accessories,3,1,0
handle external financing,6,0,0
evaluate information services using metrics,7,0,0
deal with emergency care situations,0,1,0
control wine quality,1,0,1
hang advertising posters,1,3,0
infrared sensors,5,1,0
types of vehicles,6,0,1
preventative measures against pests,8,0,0
apparel manufacturing technology,9,0,0
leasing characteristics,6,1,0
maintain power plant machinery,3,0,1
maintain pastures,8,1,0
coordinate import transportation activities,1,2,1
manage pharmaceutical production facilities construction,3,2,0
telecommunications engineering,3,3,0
create furniture frames,5,2,0
operate relational database management system,10,0,0
environmental threats,3,3,1
LAMS,10,1,0
perform costume settings,4,1,0
conduct workplace audits,2,1,1
teach archaeology,7,1,0
operate precision machinery,3,3,2
kinesitherapy,0,1,1
repair metal sheets,5,2,1
work with cultural venue specialists,2,0,1
repair electronic components,3,1,0
rewrite musical scores,4,2,0
assess offenders' risk behaviour,0,0,1
dance,4,2,1
advise on fragrances,1,4,0
turn wood,5,2,1
anthropology,7,1,0
set up water filtration system,5,1,0
perform toxicological studies,0,1,2
manage portfolio,4,3,0
water consumption,3,0,2
order electronics supplies,3,3,1
types of cargo,1,2,2
set up cameras,4,3,0
renewable energy technologies,3,0,2
clothing sizes,6,0,2
ensure legal accreditation for forwarding agent operations,1,2,1
manage game management plans,8,2,0
think creatively about food and beverages,1,3,1
envelope cutting standards,5,3,0
mould vinyl records,5,0,1
microelectromechanical systems,3,3,3
evidence-based radiography practice,0,1,3
determine release date,2,2,0
review event bills,2,0,1
manage inventory of camping supplies,7,2,0
operate shotcreter,5,0,2
Engrade,10,1,0
aeronomy,3,2,1
use theoretical marketing models,2,2,1
ICT process quality models,10,2,0
guide dog training methods,8,3,0
source colour chemicals,9,1,0
control trade commercial documentation,6,2,0
passenger transport regulations,1,1,1
provide advice to clients in terms of export restrictions,1,2,1
court procedures,2,1,2
identify origin of typed documents,7,3,0
female reproductive system pathology,0,1,4
study relationships between characters,4,3,1
clean printed circuit board,3,1,0
LDAP,10,0,1
control glass fibres flow,5,0,3
manure aquaculture ponds,8,4,0
record drilling,5,1,1
assess the care requirements of bovine feet,8,1,1
community education,0,0,1
unmanned air systems,3,4,0
cut gem stones,5,2,2
carry out inventory planning,2,3,0
provide guidelines for content development,10,1,1
develop health and safety strategies in mining,3,5,0
integrate exercise science to the design of the programme,0,2,0
collaborate with engineers,3,4,1
offer cosmetic beauty advice,6,0,2
compass navigation,7,2,0
develop aquaculture breeding strategies,8,4,1
supervise employees on operating fuel pumps,6,3,0
instruct on the use of hearing aids,0,1,5
create infrared imagery,5,1,2
health and safety in the textile industry,9,2,0
prepare market research reports,2,4,0
tunnel boring machine console,5,1,3
prepare exhibition marketing plan,2,2,0
types of aromatherapy treatments,0,1,1
meet deadlines for preparing legal cases,2,1,2
conduct environmental surveys,3,5,1
keep up to date on costume design,4,1,0
ensure necessary ventilation in machining,5,4,0
inspect batches,5,0,4
investigate animal related incidents,8,3,1
person centred care,0,1,0
drive chipper truck,5,3,1
evaluate cultural venue programmes,2,0,1
ensure compliance with maintenance legislation,3,1,1
law enforcement,2,1,2
define database physical structure,10,0,0
asbestos removal regulations,5,1,4
maintain freight rate databases,1,1,2
collaborate with coaching team,4,2,2
postediting,4,0,0
animal welfare,8,3,1
sell hair products,6,4,0
otorhinolaryngology,0,1,6
electricity market,3,0,1
metal and metal ore products,6,2,1
health care occupation-specific ethics,0,1,3
yoga,0,1,4
negotiate lawyer's fee,2,1,2
