skill_label,description
undertake continuous professional development in social work,"Undertake continuous professional development (CPD) to continuously update and develop knowledge, skills and competences within one`s scope of practice in social work."
monitor temperature in farinaceous processes,"Monitor and control the temperature in the different phases of farinaceous processes such as fermentation, proofing, and baking. Adhere to specifications or recipes."
report on voting process,"Speak with election officials about the voting process. Report on the progression of the election day, on the problems at voting locations and the types of problems that were present."
facilitate access to information,Prepare documents for archiving; ensure that the information can easily be accessed at all times.
operate pumps,Operate industrial pumps used to remove excess liquid.
cooperate in linguistic process steps,Engage and cooperate in codification processes in order to standardise and develop norms for languages.
oversee warehouse value-added activities,"Oversee warehouse activities such as storage and receipt, and dispatch of various goods such as food, drinks, clothing, and household products."
psychological effects of war,The impact of war experiences on mental health.
stand watch on vessel,"Stand watch in ships' bows, sterns, or bridge wings. Look out for obstructions in the ship's path and locate navigational aids such as buoys. Determine geographical position of the ship, using all available means such as GPS, radar ranges, visual observations and depth sounders. Perform navigational watches while underway, and safety watches, anchor watches and dock watches at other times as deemed prudent by the Captain, in accordance with normal bridge management procedures."
maintain statutory books,"Maintain updated the statutory books of the company with the relevant information of the directors and secretaries, the directors interests, and the register of shareholders."
prepare tyres for vulcanization,Prepare tyres for vulcanization by building semi-raw rubber treads onto the already buffed tyre casings.
create definitions,Create clear definitions for words and concepts. Make sure they convey the exact meaning of the words.
electrical wire accessories,"Electrical wire and cable products and accessories, such as electrical connectors, splices, and wire insulation."
handle external financing,"Handle sales on debt, other forms of external financing and apply for consumer credit."
evaluate information services using metrics,"Use bibliometrics, webometrics and web metrics to evaluate information services."
deal with emergency care situations,"Assess the signs and be well-prepared for a situation that poses an immediate threat to a person's health, security, property or environment. 
 
 "
control wine quality,"Taste the wine and strive to improve the quality. Develop new styles of wine. Making sure that quality is maintained during all production stages, including when it is bottled. Records quality checks line with specifications. Assume responsibility for the maintenance of all quality parameters for all wines."
hang advertising posters,"Collect advertising posters and hang them on the respective advertising space. Affix posters in a professional manner, without folds, moulds, or overlaps."
infrared sensors,"Different types of sensors that use light in the infrared spectrum to detect presence or movement of living creatures. Their advantages and disadvantages, usage cases and price points."
types of vehicles,"Field of information which distinguishes rental agency classification systems, containing types and classes of vehicles and their functioning and components."
preventative measures against pests,"Techniques and measures used to prevent unwanted bugs or animals in houses or buildings, such as installing wood protection and bird spikes."
apparel manufacturing technology,"Traditional and advanced apparel manufacturing technologies. Technologies including processes, machinery, etc. in order to compile and design pattern requirements, contribute to product costing and finalise assembly sequence and quality assurance criteria."
leasing characteristics,"The clauses present in leasing contracts, the types of leases and their advantages and disadvantages."
maintain power plant machinery,Maintain and repair power plant machinery and equipment to prevent operational problems and ensure all machines perform sufficiently
maintain pastures,Ensure that animals on pastures or grazing lands have enough feed. Employ pasture-conservation measures such as grazing in rotation.
coordinate import transportation activities,Oversee import transportation operations; optimise import processes and service strategies.
manage pharmaceutical production facilities construction,Manage the design and construction of pharmaceutical production facilities making sure the facilities and process validation are according to the planning and conform to FDA and GMP.
telecommunications engineering,Discipline that combines computer science with electrical engineering to improve telecommunications systems.
create furniture frames,"Construct a strong frame out of materials such as wood, metal, plastic, laminated boards, or a combination of the materials for furniture."
operate relational database management system,"Extract, store and verify information using database management systems based on the relational database model, which arranges data into tables of rows and columns, such as Oracle Database, Microsoft SQL Server and MySQL (Oracle Corporation)."
environmental threats,"The threats for the environment which are related to biological, chemical, nuclear, radiological, and physical hazards."
LAMS,"The computer program LAMS is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the LAMS Foundation."
perform costume settings,Organise and manage costume settings.
conduct workplace audits,Conduct work site audits and inspections in order to ensure compliance with rules and regulations.
teach archaeology,"Instruct students in the theory and practice of archaeology, more specifically in archaeological excavation techniques, human and cultural development, archaeological science, and archaeological investigation."
operate precision machinery,Operate machinery used for the making of small systems or components with a high level of precision.
kinesitherapy,The use of therapeutic muscle movements in treating disease and illness.
repair metal sheets,Repair bent or torn sheet metal.
work with cultural venue specialists,"Call upon the competence of other professionals and specialists, from within and outside the organisation, to contribute to activities and provide documents to improve public access to collections and exhibitions."
repair electronic components,"Repair, replace or adjust damaged electronics components or circuitry; use hand tools and soldering and welding equipment."
rewrite musical scores,"Rewrite original musical scores in different musical genres and styles; change rhythm, harmony tempo or instrumentation."
assess offenders' risk behaviour,"Assess and monitor the behaviour of offenders to gauge whether they pose any further risk to society, and what their chances for positive rehabilitation are, by assessing the environment they're in, the behaviour they show, and their efforts in rehabilitation activities."
dance,"Perform in artistic productions of differents disciplines such as classical ballet, modern dance, contemporary dance, early dance, ethnic dance, folk dance, acrobatic dances and street dance."
advise on fragrances,"Provide advice on chemical fragrances to clients such as chemical manufacturers, chemical plants and researchers."
turn wood,"Turn wood in chiefly two methods, spindle and faceplate turning. The key difference between these two is the orientation of the wood grain relative to the axis of the lathe."
anthropology,The study of development and behaviour of human beings.
set up water filtration system,Place the appropriate filtration units for water filtration and connect them to the source and destination pipes. Make sure the filtration units are accessible for maintenance and to replace filters if necessary.
perform toxicological studies,"Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body."
manage portfolio,Maintain a personal portfolio by selecting your best photos or work and regularly adding new ones in order to show your professional skills and development.
water consumption,"The factors which are involved in the calculation and estimation of water consumption in a residence or facility, and methods in which water consumption can be lowered or made more efficient."
order electronics supplies,"Order the required materials for assembling electronic equipment, paying attention to the price, quality, and suitability of the materials."
types of cargo,"Distinguish different types of cargo e.g. bulk cargo, liquid bulk cargo and heavy materials."
set up cameras,Put cameras in place and prepare them for use.
renewable energy technologies,"The different types of energy sources which cannot be depleted, such as wind, solar, water, biomass, and biofuel energy. The different technologies used to implement these types of energy to an increasing degree, such as wind turbines, hydroelectric dams, photovoltaics, and concentrated solar power."
clothing sizes,Sizes of clothing items in order to make appropriate suggestions to customers.
ensure legal accreditation for forwarding agent operations,Ensure legal accreditation for forwarding agent operations; ensure compliance with regulations local customs authorities and border agencies; follow up on annual requirements.
manage game management plans,"Develop, manage and monitor a game management plan to ensure that there is enough game such as deer, pheasant, partridge and grouse."
think creatively about food and beverages,"Generate innovative and creative ideas to come up with new recipes, preparations of food and beverages and new ways to present the products."
envelope cutting standards,"The quality of output cutting standards for the making of envelopes. These requirements cover the shape, cleanness of cuts and minimum or maximum height of knives."
mould vinyl records,"Mould vinyl records by placing plastic compounds into the press mould, starting the press cycle under which it forms a record. Place the record onto the edge trimmer, rotating the record against circular blades to trim flash the record edge."
microelectromechanical systems,"Microelectromechanical systems (MEMS) are miniaturised electromechanical systems made using processes of microfabrication. MEMS consist of microsensors, microactuators, microstructures, and microelectronics. MEMS can be used in a range of appliances, such as ink jet printer heads, digital light processors, gyroscopes in smart phones, accelerometers for airbags, and miniature microphones."
evidence-based radiography practice,The radiography principles that require the application of quality decision-making and radiography care based on proven clinical expertise as well as the most recent research developments in the field.
determine release date,Determine the best date or period to release a movie or series.
review event bills,Check event bills and proceed with the payments.
manage inventory of camping supplies,Oversee the inventory of camping equipment and supplies and take care of maintenance and the repair or replacement of equipment if required.
operate shotcreter,"Operate a shotcreter, a mechanised shotcrete spraying system used for ground support applications. Pneumatically project concrete at high velocity through a hose to cover a surface or fill holes for a variety of purposes."
Engrade,"The computer program Engrade is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
aeronomy,"Branch of atmospheric physics dealing with the parts of the atmosphere where reactions of ionization and dissociation are predominant, and with the atmosphere of other planets."
use theoretical marketing models,"Interpret different academic theories and models of academic nature and make use of them to create the marketing strategy of the company. Employ strategies such as the 7Ps, the customer lifetime value, and the unique selling proposition (USP)."
ICT process quality models,"The quality models for ICT services which address the maturity of the processes, the adoption of recommended practices and their definition and institutionalisation that allow the organisation to reliably and sustainably produce required outcomes. It includes models in a lot of ICT areas."
guide dog training methods,The methods that are used to train dogs to guide people who are visually impaired.
source colour chemicals,Full range of available dyes and colours chemicals suitable for leather and where to source them.
control trade commercial documentation,"Monitor written records containing information related to commercial transactions such as invoice, letter of credit, order, shipping, certificate of origin."
passenger transport regulations,Have knowledge of passenger transport conventions and regulations.
provide advice to clients in terms of export restrictions,"Inform clients about the export restrictions, which consist of regulations about limitations on the quantity of exported goods imposed by a specific country or government."
court procedures,"The regulations which are in place during the investigation of a court case and during a court hearing, and of how these events occur."
identify origin of typed documents,Link typed documents to a specific machine or computer by examining the printing process.
female reproductive system pathology,"The diseases of the female reproductive system, such as ovary, vulva and vaginal cancers, pelvic inflammatory disease, ovarian cysts and diseases of the placenta."
study relationships between characters,Study characters in scripts and their relationships to each other.
clean printed circuit board,"Clean the printed circuit boards and components as necessary before, during, and after the assembly process."
LDAP,The computer language LDAP is a query language for retrieval of information from a database and of documents containing the needed information.
control glass fibres flow,"Control and adjust the parameters to maintain the appropriate pressure, temperature and flow rate of the molten fibreglass through the spray jets."
manure aquaculture ponds,Manure aquaculture ponds
record drilling,Record and analyse drilling performance details; take drill core samples.
assess the care requirements of bovine feet,"Inspect the foot and hoof for signs of injury, wear, or damage. Decide how to care for the health and wellbeing of the bovine."
community education,"Programs targeting the social development and learning of individuals in their own community, through a variety of formal or informal education methods."
unmanned air systems,The systems used to remotely control unmanned aerial vehicles by onboard computers or by a pilot on the ground or in the air.
cut gem stones,Cut and shape gemstones and jewellery pieces.
carry out inventory planning,Determine the optimal quantities and timings of inventory in order to align it with sales and production capacity.
provide guidelines for content development,"Develop standards and structures for content development such as formats, styles, layout, structures, content types, terminology, XML and DITA. Implement them in document type definitions and apply them during work process and evaluate results in light of established standards."
develop health and safety strategies in mining,Develop strategies and procedures to manage health and safety in mining. Make sure procedures conform with national law as a minimum.
integrate exercise science to the design of the programme,"Design movements and exercises according to the functions of the musculoskeletal system and biomechanical concepts. Develop programme according to physiological concepts, the cardio-respiratory and energy systems. 
 "
collaborate with engineers,Work closely and communicate with engineers on designs or new products.
offer cosmetic beauty advice,Provide customers with advice and beauty tips for creating a new look.
compass navigation,"The monitoring of movement from a starting to a finishing point using a compass, rotated until the compass' orienting arrow aligns with the cardinal direction north represented by an 'N'."
develop aquaculture breeding strategies,"Create and develop an aquaculture breeding strategy using a variety of techniques; naturally spawned fish eggs, induced spawning of fish eggs, environmental controlled spawning, hormonally regulated fish spawning, broodstock recruitment by genetic selection."
supervise employees on operating fuel pumps,Supervise employees activities on operating the fuel pumps and ensure the safety of their operations.
instruct on the use of hearing aids,Instruct patients on how to use and maintain the prescribed hearing aids.
create infrared imagery,Use an infrared camera to produce imagery displaying the infrared part of the spectrum.
health and safety in the textile industry,"The requirements, rules and applications of health and safety measures in the textile industry."
prepare market research reports,"Report on the outcomes of the market research, main observations and outcomes, and notes helpful for analysing the information."
tunnel boring machine console,"Functions of the buttons, switches, gauges and monitors on a tunnel boring machine console."
prepare exhibition marketing plan,"Develop marketing plan for upcoming exhibition; design and distribute posters, flyers and catalogues; communicate ideas with photographers, graphic designers and printers; prepare articles for online and printed media; keep website and social media up-to-date."
types of aromatherapy treatments,"Field of information which distinguishes a variety of ways to apply aromatherapy treatment, such as massages, inhalers, baths, vaporizers, compresses, diffusers, meditiation or deodorizers."
meet deadlines for preparing legal cases,"Plan and adjust timings in order to prepare legal documents, collect information and evidence, and contact clients and lawyers in order to prepare the case properly."
